z,x
0.0,0.0
0.00029979242,-3.1775785e-08
0.0032977136,-3.8448683e-06
0.00629562,-1.4013098e-05
0.0092934981,-3.053642e-05
0.012291334,-5.3414759e-05
0.015289115,-8.2648013e-05
0.018286828,-0.00011823605
0.021284458,-0.00016017871
0.024281993,-0.00020847581
0.027279418,-0.00026312712
0.030276721,-0.00032413241
0.033273888,-0.00039149139
0.036270905,-0.00046520377
0.039267759,-0.00054526921
0.042264437,-0.00063168736
0.045260925,-0.00072445782
0.048257209,-0.00082358019
0.051253277,-0.00092905401
0.054249114,-0.0010408788
0.057244708,-0.0011590541
0.060240044,-0.0012835793
0.06323511,-0.0014144539
0.066229891,-0.0015516773
0.069224375,-0.0016952489
0.072218548,-0.001845168
0.075212396,-0.002001434
0.078205906,-0.0021640462
0.081199065,-0.0023330037
0.084191859,-0.002508306
0.087184274,-0.0026899521
0.090176298,-0.0028779413
0.093167916,-0.0030722727
0.096159116,-0.0032729455
0.099149884,-0.0034799587
0.10214021,-0.0036933114
0.10513007,-0.0039130027
0.10811946,-0.0041390316
0.11110836,-0.004371397
0.11409677,-0.0046100979
0.11708466,-0.0048551333
0.12007203,-0.005106502
0.12305886,-0.0053642029
0.12604513,-0.0056282349
0.12903084,-0.0058985967
0.13201597,-0.0061752872
0.1350005,-0.006458305
0.13798443,-0.006747649
0.14096774,-0.0070433179
0.14395041,-0.0073453102
0.14693244,-0.0076536247
0.14991381,-0.0079682599
0.1528945,-0.0082892145
0.15587451,-0.008616487
0.15885381,-0.008950076
0.1618324,-0.0092899798
0.16481027,-0.0096361971
0.16778739,-0.0099887263
0.17076376,-0.010347566
0.17373937,-0.010712714
0.17671419,-0.011084169
0.17968822,-0.011461929
0.18266144,-0.011845993
0.18563384,-0.012236359
0.1886054,-0.012633025
0.19157612,-0.01303599
0.19454598,-0.013445251
0.19751496,-0.013860807
0.20048306,-0.014282656
0.20345025,-0.014710795
0.20641653,-0.015145224
0.20938188,-0.01558594
0.2123463,-0.016032941
0.21530975,-0.016486225
0.21827224,-0.01694579
0.22123375,-0.017411634
0.22419427,-0.017883755
0.22715377,-0.018362151
0.23011226,-0.018846819
0.23306971,-0.019337758
0.23602612,-0.019834965
0.23898146,-0.020338439
0.24193573,-0.020848176
0.24488892,-0.021364174
0.247841,-0.021886432
0.25079197,-0.022414946
0.25374181,-0.022949715
0.25669051,-0.023490736
0.25963806,-0.024038006
0.26258444,-0.024591524
0.26552964,-0.025151286
0.26847365,-0.02571729
0.27141645,-0.026289534
0.27435804,-0.026868015
0.27729839,-0.02745273
0.28023749,-0.028043677
0.28317533,-0.028640854
0.2861119,-0.029244256
0.28904719,-0.029853883
0.29198118,-0.03046973
0.29491385,-0.031091796
0.2978452,-0.031720077
0.30077521,-0.032354571
0.30370387,-0.032995274
0.30663116,-0.033642185
0.30955708,-0.034295299
0.31248161,-0.034954614
0.31540473,-0.035620128
0.31832643,-0.036291836
0.3212467,-0.036969737
0.32416553,-0.037653827
0.32708291,-0.038344102
0.32999881,-0.039040561
0.33291323,-0.039743199
0.33582616,-0.040452013
0.33873757,-0.041167002
0.34164746,-0.04188816
0.34455582,-0.042615485
0.34746263,-0.043348974
0.35036788,-0.044088623
0.35327155,-0.044834429
0.35617364,-0.045586389
0.35907412,-0.046344499
0.36197299,-0.047108756
0.36487024,-0.047879157
0.36776585,-0.048655697
0.3706598,-0.049438374
0.37355209,-0.050227184
0.37644269,-0.051022124
0.37933161,-0.051823189
0.38221882,-0.052630377
0.38510432,-0.053443683
0.38798808,-0.054263104
0.3908701,-0.055088637
0.39375037,-0.055920277
0.39662886,-0.056758021
0.39950557,-0.057601865
0.40238049,-0.058451805
0.4052536,-0.059307838
0.40812489,-0.06016996
0.41099434,-0.061038166
0.41386195,-0.061912453
0.41672769,-0.062792817
0.41959157,-0.063679254
0.42245356,-0.06457176
0.42531365,-0.065470332
0.42817182,-0.066374964
0.43102808,-0.067285652
0.4338824,-0.068202394
0.43673477,-0.069125184
0.43958517,-0.070054019
0.4424336,-0.070988894
0.44528004,-0.071929806
0.44812448,-0.072876749
0.45096691,-0.07382972
0.45380731,-0.074788714
0.45664567,-0.075753728
0.45948198,-0.076724756
0.46231623,-0.077701794
0.46514839,-0.078684839
0.46797847,-0.079673885
0.47080644,-0.080668928
0.4736323,-0.081669964
0.47645603,-0.082676988
0.47927762,-0.083689995
0.48209706,-0.084708982
0.48491432,-0.085733943
0.48772941,-0.086764874
0.49054231,-0.08780177
0.493353,-0.088844627
0.49616148,-0.08989344
0.49896773,-0.090948204
0.50177173,-0.092008914
0.50457348,-0.093075567
0.50737296,-0.094148156
0.51017016,-0.095226677
0.51296507,-0.096311125
0.51575768,-0.097401496
0.51854796,-0.098497784
0.52133592,-0.099599984
0.52412153,-0.10070809
0.52690479,-0.1018221
0.52968568,-0.10294201
0.53246419,-0.10406781
0.53524031,-0.1051995
0.53801402,-0.10633707
0.54078531,-0.10748052
0.54355418,-0.10862984
0.5463206,-0.10978503
0.54908457,-0.11094608
0.55184607,-0.11211298
0.55460509,-0.11328574
0.55736161,-0.11446434
0.56011563,-0.11564879
0.56286714,-0.11683907
0.56561612,-0.11803518
0.56836255,-0.11923711
0.57110643,-0.12044486
0.57384774,-0.12165843
0.57658648,-0.12287781
0.57932262,-0.12410299
0.58205616,-0.12533396
0.58478709,-0.12657073
0.58751538,-0.12781328
0.59024104,-0.12906162
0.59296404,-0.13031573
0.59568438,-0.13157561
0.59840205,-0.13284126
0.60111702,-0.13411266
0.60382929,-0.13538981
0.60653885,-0.13667271
0.60924569,-0.13796136
0.61194978,-0.13925573
0.61465113,-0.14055584
0.61734971,-0.14186167
0.62004552,-0.14317322
0.62273854,-0.14449048
0.62542877,-0.14581345
0.62811618,-0.14714211
0.63080077,-0.14847647
0.63348253,-0.14981652
0.63616144,-0.15116225
0.63883749,-0.15251365
0.64151067,-0.15387073
0.64418097,-0.15523347
0.64684837,-0.15660186
0.64951287,-0.15797591
0.65217444,-0.1593556
0.65483309,-0.16074094
0.65748879,-0.1621319
0.66014154,-0.16352849
0.66279133,-0.1649307
0.66543813,-0.16633853
0.66808194,-0.16775196
0.67072276,-0.169171
0.67336055,-0.17059563
0.67599532,-0.17202585
0.67862706,-0.17346165
0.68125574,-0.17490302
0.68388137,-0.17634997
0.68650392,-0.17780248
0.68912338,-0.17926054
0.69173975,-0.18072415
0.69435301,-0.18219331
0.69696315,-0.183668
0.69957015,-0.18514823
0.70217402,-0.18663397
0.70477473,-0.18812523
