z,x
0.0,0.0
0.023662083,-0.00021988892
0.047315993,-0.00087947971
0.07095356,-0.0019785446
0.09456662,-0.0035167039
0.11814702,-0.0054934263
0.1416866,-0.0079080292
0.16517725,-0.010759678
0.18861085,-0.014047389
0.2119793,-0.017770026
0.23527454,-0.021926302
0.25848851,-0.026514783
0.28161319,-0.031533884
0.30464061,-0.036981871
0.3275628,-0.042856861
0.35037186,-0.049156827
0.37305989,-0.055879592
0.39561907,-0.063022834
0.41804161,-0.070584086
0.44031975,-0.078560736
0.4624458,-0.086950028
0.48441213,-0.095749066
0.50621114,-0.10495481
0.5278353,-0.11456408
0.54927715,-0.12457356
0.57052928,-0.13497979
0.59158435,-0.14577917
0.61243508,-0.15696798
0.63307428,-0.16854235
0.65349481,-0.18049828
0.67368963,-0.19283165
0.69365175,-0.20553819
0.71337429,-0.21861351
0.73285042,-0.23205311
0.75207343,-0.24585233
0.77103667,-0.26000641
0.7897336,-0.27451046
0.80815775,-0.28935947
0.82630276,-0.30454832
0.84416236,-0.32007175
0.8617304,-0.33592441
0.87900079,-0.35210082
0.89596757,-0.36859539
0.900336901586665,-0.37292281488005036
