# energy_center_GeV,theta_center_rad,density_per_GeV_rad,count
8.3333333333333331e-05,0.00016666666666666666,0,0
8.3333333333333331e-05,0.00050000000000000001,0,0
8.3333333333333331e-05,0.00083333333333333328,0,0
8.3333333333333331e-05,0.0011666666666666665,360,2
8.3333333333333331e-05,0.0015,1080,6
8.3333333333333331e-05,0.0018333333333333333,2160,12
8.3333333333333331e-05,0.0021666666666666666,4140,23
8.3333333333333331e-05,0.0025000000000000001,5580,31
8.3333333333333331e-05,0.0028333333333333331,10080,56
8.3333333333333331e-05,0.0031666666666666666,14220,79
8.3333333333333331e-05,0.0035000000000000001,17280,96
8.3333333333333331e-05,0.0038333333333333331,20520,114
8.3333333333333331e-05,0.0041666666666666666,32760,182
8.3333333333333331e-05,0.0044999999999999997,38520,214
8.3333333333333331e-05,0.0048333333333333336,35640,198
8.3333333333333331e-05,0.0051666666666666666,30420,169
8.3333333333333331e-05,0.0054999999999999997,27360,152
8.3333333333333331e-05,0.0058333333333333327,28800,160
8.3333333333333331e-05,0.0061666666666666667,24660,137
8.3333333333333331e-05,0.0064999999999999997,23940,133
8.3333333333333331e-05,0.0068333333333333328,20160,112
8.3333333333333331e-05,0.0071666666666666667,13680,76
8.3333333333333331e-05,0.0074999999999999997,11880,66
8.3333333333333331e-05,0.0078333333333333328,12060,67
8.3333333333333331e-05,0.0081666666666666658,8460,47
8.3333333333333331e-05,0.0084999999999999989,8280,46
8.3333333333333331e-05,0.0088333333333333337,9360,52
8.3333333333333331e-05,0.0091666666666666667,7920,44
8.3333333333333331e-05,0.0094999999999999998,6120,34
8.3333333333333331e-05,0.0098333333333333328,4500,25
8.3333333333333331e-05,0.010166666666666666,5580,31
8.3333333333333331e-05,0.010499999999999999,4500,25
8.3333333333333331e-05,0.010833333333333334,2700,15
8.3333333333333331e-05,0.011166666666666667,3420,19
8.3333333333333331e-05,0.0115,1800,10
8.3333333333333331e-05,0.011833333333333333,2520,14
8.3333333333333331e-05,0.012166666666666666,3420,19
8.3333333333333331e-05,0.012499999999999999,3600,20
8.3333333333333331e-05,0.012833333333333334,2340,13
8.3333333333333331e-05,0.013166666666666667,2160,12
8.3333333333333331e-05,0.0135,2700,15
8.3333333333333331e-05,0.013833333333333333,1980,11
8.3333333333333331e-05,0.014166666666666666,2160,12
8.3333333333333331e-05,0.014499999999999999,1440,8
